checkpoint,face_proxy_scale,gt_face_residual_rmse,hdf_start_index,matched_hdf_event,num_hydrographs,pred_face_residual_rmse,pred_vs_gt_delta_rmse,rollout_length,zone_0_gt_face_residual_rmse,zone_0_pred_face_residual_rmse,zone_0_pred_vs_gt_delta_rmse,zone_1_gt_face_residual_rmse,zone_1_pred_face_residual_rmse,zone_1_pred_vs_gt_delta_rmse,zone_2_gt_face_residual_rmse,zone_2_pred_face_residual_rmse,zone_2_pred_vs_gt_delta_rmse,zone_3_gt_face_residual_rmse,zone_3_pred_face_residual_rmse,zone_3_pred_vs_gt_delta_rmse
h1h6_zone1_w1e9_e5_full,0.0009280850562693861,925.2853304545084,0,True,6,174.9773499806722,976.7207415262858,10,1078.5226610819498,170.23744328816733,1132.3643516540528,851.6314694722494,188.2639170328776,901.4043159484863,636.9546726226806,179.62121187845867,696.7391560872396,644.0435895284016,148.9560806274414,683.0612874348958
h1h6_w1e9_e5_full,0.000764062973515441,1011.0228141784668,0,True,6,171.38355712890626,1079.5787971496582,10,1143.9736452738443,165.80335032145183,1208.1341791788736,931.0174446105957,184.5670389811198,1000.8719713846842,793.9398995717366,179.56601333618164,886.1083450317383,800.8129816691081,146.72809677124025,867.9981262207032
h1h6_noface_e5_full,0.0006445887202668625,1017.356871287028,0,True,6,186.7348508199056,1101.4736473083497,10,1119.0186820983886,178.5934715270996,1189.9195727030435,949.0522727966309,192.50255584716797,1034.112708791097,867.5827726999919,200.1783551534017,990.0038075764974,871.7479960123698,186.64520950317382,980.3925071716309
