checkpoint,num_hydrographs,rollout_length,rollout_rmse,rollout_volume_rmse,rollout_wd_rmse,zone_0_rollout_rmse,zone_0_rollout_volume_rmse,zone_0_rollout_wd_rmse,zone_1_rollout_rmse,zone_1_rollout_volume_rmse,zone_1_rollout_wd_rmse,zone_2_rollout_rmse,zone_2_rollout_volume_rmse,zone_2_rollout_wd_rmse,zone_3_rollout_rmse,zone_3_rollout_volume_rmse,zone_3_rollout_wd_rmse
h1h6_zone1_w1e9_e5_full,6,30,0.10657975478097796,0.09638349552017947,0.11580538114325868,0.11431236007871727,0.11055816200354861,0.11780820353370573,0.09606696823870556,0.08647478507676472,0.10464735531455113,0.09353481292362428,0.07405598974631479,0.10958225235808641,0.11164621278488387,0.07507387675448424,0.1388902557651616
h1h6_zone1_e5_full,6,30,0.10643970349079204,0.10851920484565199,0.1042224426753819,0.11282409600810045,0.12100074729468259,0.10388064655578799,0.09893467202006528,0.10060089671622134,0.09707556139005141,0.09488611404732283,0.09003230172157702,0.09944664645267444,0.10942596812835997,0.08826141035080784,0.12698075176320142
h1h6_w1e9_e5_full,6,30,0.11976886199683778,0.10741269557426374,0.1308722106895099,0.11754514483424525,0.11807697019539773,0.1168878473703646,0.11160508842828373,0.09743905410998398,0.12398984014160103,0.11998067290211717,0.0940772988057385,0.14117774644659625,0.1462908865366545,0.09588263626469093,0.18330493681132792
h1h6_noface_e5_full,6,30,0.11852523313524822,0.11122183842687972,0.12534351287306184,0.11711594557079176,0.11701567905127175,0.11711533821912276,0.10895853496880994,0.10315061512713632,0.11439482460005415,0.1202001133416262,0.1065789381093863,0.13238199725229707,0.14242422236647043,0.10859407011109094,0.1695476767193112
