checkpoint,face_proxy_scale,gt_face_residual_rmse,hdf_start_index,matched_hdf_event,num_hydrographs,pred_face_residual_rmse,pred_vs_gt_delta_rmse,rollout_length,zone_0_gt_face_residual_rmse,zone_0_pred_face_residual_rmse,zone_0_pred_vs_gt_delta_rmse,zone_1_gt_face_residual_rmse,zone_1_pred_face_residual_rmse,zone_1_pred_vs_gt_delta_rmse,zone_2_gt_face_residual_rmse,zone_2_pred_face_residual_rmse,zone_2_pred_vs_gt_delta_rmse,zone_3_gt_face_residual_rmse,zone_3_pred_face_residual_rmse,zone_3_pred_vs_gt_delta_rmse
h1h6_zone1_w1e9_e5_full,0.0009341835480881855,3041.542963268139,0,True,6,188.3968475906937,3107.802960431134,45,3464.2632785938404,173.8126196967231,3538.0101166336626,2709.008066643609,207.47271369651511,2775.607660929362,2439.5649963661476,200.47587401778608,2504.4446432608147,2431.427251236527,180.8950243914569,2458.5956483346445
h1h6_zone1_e5_full,0.0012859110653624629,3412.2371895684137,0,True,6,240.96927179407191,3498.399324431243,45,3757.7598626595955,203.17083079020182,3847.156190942835,3150.9536744859483,275.3825516312211,3238.950789501049,2946.139101014314,268.0652990270544,3034.921192706073,2918.2193145751953,262.44840336552375,2983.9807223849825
h1h6_w1e9_e5_full,0.000749571729102172,3324.200203620063,0,True,6,173.56395664921513,3393.1389992042823,45,3607.9916328147606,161.60613538953993,3677.710016547309,3012.974525225604,191.02001913565178,3087.8772670604562,3017.6876382615833,184.94101590757018,3093.49453503644,3067.846728459111,162.2554389388473,3112.9866290622285
h1h6_noface_e5_full,0.0008667991430869464,3539.995342961064,0,True,6,210.96915475350838,3635.2155215793186,45,3667.2884872436525,188.46287909613716,3755.2643820868598,3292.260879121003,228.39360114203558,3389.431881148727,3497.8589612890173,232.55625972041378,3613.7517349808304,3551.3123376916956,228.3314316926179,3652.124516861527
