checkpoint,face_proxy_scale,gt_face_residual_rmse,hdf_start_index,matched_hdf_event,num_hydrographs,pred_face_residual_rmse,pred_vs_gt_delta_rmse,rollout_length,zone_0_gt_face_residual_rmse,zone_0_pred_face_residual_rmse,zone_0_pred_vs_gt_delta_rmse,zone_1_gt_face_residual_rmse,zone_1_pred_face_residual_rmse,zone_1_pred_vs_gt_delta_rmse,zone_2_gt_face_residual_rmse,zone_2_pred_face_residual_rmse,zone_2_pred_vs_gt_delta_rmse,zone_3_gt_face_residual_rmse,zone_3_pred_face_residual_rmse,zone_3_pred_vs_gt_delta_rmse
h1h6_zone1_w1e9_e5_full,0.0009341838978731108,3041.542968128346,0,True,6,188.39688217728227,3107.802975407353,45,3464.263314988878,173.81263433385777,3538.010133022732,2709.0080826935946,207.4727616486726,2775.6076831958912,2439.5650570057055,200.47592496518735,2504.4446838944045,2431.427281641077,180.89507853190105,2458.595677976255
h1h6_w1e9_e5_full,0.0007495717734046694,3324.2001897176106,0,True,6,173.56396004005714,3393.138984567148,45,3607.991572909885,161.60613663284866,3677.7099651760527,3012.9745141488534,191.02002246997975,3087.8772668344004,3017.687731227168,184.9410187897859,3093.4946310537835,3067.8467247291846,162.2554404647262,3112.986602444119
h1h6_noface_e5_full,0.0008667988558213606,3539.9953099568684,0,True,6,210.96912643997757,3635.21548055013,45,3667.288411514847,188.4628623679832,3755.2642971462674,3292.2609132554794,228.3935636167173,3389.4319191261575,3497.8589042663575,232.55622366446036,3613.751690786856,3551.3123408564816,228.33139071994358,3652.124528729474
