face_id,src,dst,face_length,normal_x,normal_y,center_distance,elevation_src,elevation_dst,elevation_diff,bed_slope,manning_src,manning_dst,manning_mean,manning_diff,ip_src,ip_dst,ip_mean,ip_diff,landcover_ip_src,landcover_ip_dst,area_src,area_dst,area_mean,area_ratio,zone_src,zone_dst,same_zone,zone3_touching,zone3_internal,surface_gradient_rms,face_target_mean,face_target_std,face_target_rms
27156,9518,9517,73.41642761,0.06333134323,0.9979925752,67.45451907,27.93247223,28.8125,0.880027771,0.01304623891,0.12,0.12,0.12,0,85,85,85,0,85,85,3731.075195,6371.22876,5051.151978,1.707611996,2,1,0,0,0,0.005028790931,16755.76758,45925.29297,48886.48438
27157,9518,11992,59.60102844,-0.9872592688,0.1591199934,53.60968031,27.93247223,28.16816711,0.235694885,0.004396498611,0.12,0.12,0.12,0,85,85,85,0,85,85,3731.075195,2931.493164,3331.28418,1.272755891,2,2,1,0,0,0.001095330843,-15790.49316,21738.55078,26868.27539
27158,11221,11532,96.75445557,0.1379942447,-0.9904330373,33.79593005,25.97173691,26.07905388,0.107316971,0.003175440677,0.12,0.12,0.12,0,85,85,85,0,85,85,5073.674316,1843.013916,3458.344116,2.752922413,1,3,0,1,0,0.0003068730764,140643.9844,151062.4688,206399.125
27159,11221,11533,67.08298492,0.8086940646,0.5882294774,39.03954555,25.97173691,27.63732147,1.665584564,0.04266403568,0.12,0.12,0.12,0,85,85,85,0,85,85,5073.674316,2731.983643,3902.828979,1.857139346,1,2,0,0,0,0.01601895457,54763.32812,68981.52344,88076.51562
27160,11532,11222,90.1920166,-0.1298573017,-0.9915326834,49.23850963,26.07905388,25.42633247,-0.652721405,-0.01325631929,0.12,0.12,0.12,0,85,85,85,0,85,85,1843.013916,6356.920654,4099.967285,3.449198402,3,1,0,1,0,0.003291856111,83902.24219,84976.96094,119418.0469
27161,11535,11994,20.99854851,0.3416217566,-0.9398375154,84.83624613,27.55360031,4.054737091,-23.49886322,-0.2769908417,0.12,0.12,0.12,0,85,85,85,0,85,85,3687.429932,4486.509521,4086.969727,1.216703668,2,2,1,0,0,0.4704416546,504.5002747,3086.730713,3127.687256
27162,11994,11995,44.16132736,0.9811944366,-0.1930218637,59.97656756,4.054737091,-0.766130447,-4.820867538,-0.08037918363,0.12,0.12,0.12,0,85,85,85,0,85,85,4486.509521,3825.741699,4156.12561,1.172716266,2,2,1,0,0,0.03882715022,164876.9375,173371.7656,239253.375
27163,11537,11995,68.82913971,-0.1930218637,-0.9811944366,60,23.79925537,-0.766130447,-24.56538582,-0.409423097,0.03,0.12,0.075,0.09,0,85,42.5,85,0,85,4993.715332,3825.741699,4409.728516,1.305293385,2,2,1,0,0,0.1359875709,-77314.9375,102566.2031,128442.3047
27164,11992,9517,34.40516281,0.4661286175,0.8847169876,83.26455377,28.16816711,28.8125,0.644332886,0.007738381543,0.12,0.12,0.12,0,85,85,85,0,85,85,2931.493164,6371.22876,4651.360962,2.173373228,2,1,0,0,0,0.009003309302,12675.65527,22551.0293,25869.30859
27165,11534,11991,54.66610718,0.7980983257,-0.6025272608,60,37.22649002,36.34620285,-0.880287171,-0.01467145285,0.12,0.12,0.12,0,85,85,85,0,85,85,2057.907227,3983.070557,3020.488892,1.935495685,3,2,0,1,0,0.01357018247,0,0,0
27166,11534,10819,91.14343262,0.04793179035,0.998850584,33.46319726,37.22649002,37.22649002,0,0,0.12,0.12,0.12,0,85,85,85,0,85,85,2057.907227,5823.441895,3940.674561,2.82978835,3,1,0,1,0,0.001035702287,-731.5952759,549.5195312,914.9881592
27167,11534,10820,75.36231995,-0.6368911862,-0.7709537148,39.78577128,37.22649002,36.08759308,-1.138896942,-0.02862573491,0.12,0.12,0.12,0,85,85,85,0,85,85,2057.907227,3419.717041,2738.812134,1.661744998,3,2,0,1,0,0.009475671414,833.2576904,610.0930786,1032.730347
27168,10820,11219,73.5557251,-0.9863939285,0.1643989831,80,36.08759308,29.07518196,-7.012411118,-0.08765513897,0.12,0.12,0.12,0,85,85,85,0,85,85,3419.717041,6009.612793,4714.664917,1.75734212,2,1,0,0,0,0.08108510848,757.5184937,510.1929932,913.3078003
27169,10820,10821,52.48034286,-0.2129048258,-0.9770729542,79.92031851,36.08759308,31.11164474,-4.975948334,-0.06226136766,0.12,0.12,0.12,0,85,85,85,0,85,85,3419.717041,5587.17334,4503.44519,1.633811591,2,1,0,0,0,0.08719954167,259.8916016,215.0307465,337.3157043
