checkpoint,gt_proxy_residual_rmse,k,num_hydrographs,pred_proxy_residual_rmse,pred_vs_gt_delta_rmse,rollout_length,zone_0_gt_proxy_residual_rmse,zone_0_pred_proxy_residual_rmse,zone_0_pred_vs_gt_delta_rmse,zone_1_gt_proxy_residual_rmse,zone_1_pred_proxy_residual_rmse,zone_1_pred_vs_gt_delta_rmse,zone_2_gt_proxy_residual_rmse,zone_2_pred_proxy_residual_rmse,zone_2_pred_vs_gt_delta_rmse,zone_3_gt_proxy_residual_rmse,zone_3_pred_proxy_residual_rmse,zone_3_pred_vs_gt_delta_rmse
baseline,3085.7849538167316,4,3,658.0124979654948,3645.8541666666665,10,2778.6275975545245,615.0072713216146,3291.413157145182,3429.560418701172,693.0400858561198,3999.3122009277345,3644.647132873535,773.183036295573,4349.088208007813,2533.430824661255,552.4409790039062,3051.3368977864584
zone025,3133.8735544840497,4,3,656.5667622884115,3697.3410013834637,10,2796.6737197875977,602.8837565104167,3303.636295572917,3513.4459309895833,705.2449808756511,4100.43412475586,3664.88843943278,768.6196553548177,4365.746081542969,2700.2482217152915,575.4610880533854,3243.1218770345054
zone1,3100.9325002034507,4,3,612.8957946777343,3624.3163431803387,10,2968.5995173136394,594.4884521484375,3475.234759521484,3369.529473876953,638.6517232259115,3894.3316935221355,3240.5511327107747,651.7626241048177,3821.0486043294272,2762.085676956177,566.4302144368489,3296.941416422526
random,2869.866677856445,4,3,574.901454671224,3350.049658203125,10,2657.6944900512694,545.9940450032552,3108.3435302734374,3129.977225748698,593.8744364420573,3603.238376871745,3181.7714431762697,643.7739908854167,3753.941719563802,2621.254937616984,541.0131581624349,3128.4327473958333
full,2870.6902252197265,4,3,576.4242411295573,3352.2045369466146,10,2660.4857437133787,547.596006266276,3112.6716105143228,3129.328055826823,595.6454752604167,3603.880509440104,3187.341297912598,646.4455586751302,3762.110945638021,2606.290335973104,539.203847249349,3111.4292439778646
