checkpoint,num_hydrographs,rollout_length,rollout_rmse,rollout_volume_rmse,rollout_wd_rmse,zone_0_rollout_rmse,zone_0_rollout_volume_rmse,zone_0_rollout_wd_rmse,zone_1_rollout_rmse,zone_1_rollout_volume_rmse,zone_1_rollout_wd_rmse,zone_2_rollout_rmse,zone_2_rollout_volume_rmse,zone_2_rollout_wd_rmse,zone_3_rollout_rmse,zone_3_rollout_volume_rmse,zone_3_rollout_wd_rmse
baseline,5,10,0.24838849261403084,0.20766075313091278,0.28285896688699724,0.23534377731382847,0.18489595495164393,0.27601615101099014,0.26585840530693533,0.2201449977606535,0.30423765510320666,0.24736294910311699,0.2334190694987774,0.26001826137304307,0.26521357499063014,0.23224346131086349,0.29401171252131464
zone1,5,10,0.2615121183544397,0.19922507762908936,0.31112043231725695,0.2618377732485533,0.19626957148313523,0.3128452591598034,0.26773094028234484,0.205688066855073,0.3174627240747213,0.24367584802210332,0.202048284932971,0.27881611965596675,0.2714498407393694,0.18984691701829434,0.33314585506916045
source_targetgrad,5,10,0.24845107831060886,0.20743172571063043,0.28313617952167985,0.23548593997955322,0.18489264488220214,0.27626007713377476,0.2660642156004906,0.22006636559963227,0.3046539031714201,0.24716742031276226,0.23282211720943452,0.2601827722042799,0.2649657072871923,0.23138136878609658,0.2942459037899971
