checkpoint,num_hydrographs,rollout_length,rollout_rmse,rollout_volume_rmse,rollout_wd_rmse,zone_0_rollout_rmse,zone_0_rollout_volume_rmse,zone_0_rollout_wd_rmse,zone_1_rollout_rmse,zone_1_rollout_volume_rmse,zone_1_rollout_wd_rmse,zone_2_rollout_rmse,zone_2_rollout_volume_rmse,zone_2_rollout_wd_rmse,zone_3_rollout_rmse,zone_3_rollout_volume_rmse,zone_3_rollout_wd_rmse
baseline,3,10,0.23771830275654793,0.14746097916116316,0.3021090303858121,0.21030599847435952,0.13147923511763412,0.2667756664256255,0.2990663327276707,0.16496570793290932,0.3894182654718558,0.23236720710992814,0.17364430191616217,0.2789912257343531,0.20195508773128193,0.12733928424616656,0.25561379368106524
zone025,3,10,0.2170234435548385,0.14956157747656107,0.2680077423652013,0.19924535031119983,0.1342762832219402,0.24772284974654515,0.25745925108591716,0.16676480298240978,0.3236272769669692,0.21773914322257043,0.17315327562391758,0.2546311741073926,0.18932346341510614,0.1328518516694506,0.23243129861851533
zone1,3,10,0.20213381635646024,0.15475442198415598,0.2403453373660644,0.20350941953559717,0.15705399165550868,0.24117025770246983,0.21529135381182035,0.15736042509476345,0.2606420315802097,0.19318579497436683,0.15346142190198103,0.226030782982707,0.17277604018648465,0.13638342140863338,0.20272155689696472
random,3,10,0.20083838030695916,0.13944777231663466,0.24743917323648928,0.19028694418569406,0.13300638900448877,0.23393596857786178,0.2303032300124566,0.14754948156575362,0.29034701858957607,0.19721257947385312,0.14986078987518947,0.23520508855581285,0.1785210250566403,0.1312302891165018,0.2156748856107394
full,3,10,0.2006925828754902,0.139341659968098,0.24726235878964264,0.189873884866635,0.13296025941769282,0.23329014964401723,0.2305520026634137,0.14746412982543308,0.29078628520170846,0.19721259797612825,0.14995109575490156,0.23514843471348285,0.1782592451820771,0.13037102210024992,0.21576269753277302
