hydrograph_id,transition_index,all_face_abs_max,all_face_count,all_face_mae,all_face_near_zero_fraction,all_face_negative_fraction,all_face_positive_fraction,all_face_rms,zone3_internal_abs_max,zone3_internal_count,zone3_internal_mae,zone3_internal_near_zero_fraction,zone3_internal_negative_fraction,zone3_internal_positive_fraction,zone3_internal_rms,zone3_touch_abs_max,zone3_touch_count,zone3_touch_mae,zone3_touch_near_zero_fraction,zone3_touch_negative_fraction,zone3_touch_positive_fraction,zone3_touch_rms
H1,0,1286943.0,28633,539.7690893888805,0.24541612824363496,0.40624454300981383,0.34872350085565607,17782.527872173985,4.948875427246094,2015,0.17180980454343286,0.22332506203473945,0.3955334987593052,0.3826302729528536,0.46626762213908746,17.11876106262207,3564,0.21334069136171327,0.265993265993266,0.37962962962962965,0.3554994388327722,0.7280821630374497
H1,1,2090994.75,28633,2870.3827510267697,0.22819823280829812,0.41441693151259035,0.35748960989068557,50843.3022024256,18.62113380432129,2015,1.0511404166925529,0.2109181141439206,0.40248138957816376,0.3870967741935484,2.239151102895091,63.719573974609375,3564,1.2328707524371882,0.2505611672278339,0.3877665544332211,0.36195286195286197,3.172407697655189
H1,2,2185449.5,28633,3475.6213918059407,0.20605594942898053,0.42660566479237244,0.367338385778647,56865.94604910766,71.41452026367188,2015,4.131276622900646,0.19751861042183622,0.4094292803970223,0.3930521091811414,8.937111611595167,194.76333618164062,3564,4.637478661209843,0.2351290684624018,0.3942199775533109,0.3706509539842873,11.145788443204061
H1,3,1837239.625,28633,3458.7248961455225,0.1968707435476548,0.43205392379422347,0.37114518213250447,52163.98184181648,262.2882080078125,2015,8.165767138721385,0.19305210918114143,0.4138957816377171,0.3930521091811414,19.392911376373522,576.5989990234375,3564,9.125104328366135,0.23007856341189675,0.39590347923681257,0.3740179573512907,25.539637167377023
H1,4,1686589.625,28633,3521.000425672855,0.18503125763978626,0.43889917228372854,0.37606957007648517,48851.486083100426,331.89239501953125,2015,12.813882326618389,0.1880893300248139,0.4138957816377171,0.398014888337469,29.3609550388712,1042.488525390625,3564,14.598636877875519,0.2222222222222222,0.3956228956228956,0.38215488215488214,42.49260427151302
H1,5,1677004.125,28633,4253.4376464660945,0.17811615967589844,0.4440331086508574,0.37788565641043553,50534.123006589,378.9111328125,2015,16.53088459524348,0.18660049627791564,0.4153846153846154,0.398014888337469,38.03443797852545,1612.940673828125,3564,19.13030069315411,0.21997755331088664,0.3984287317620651,0.38159371492704824,59.68188755085642
H1,6,1690209.0,28633,5617.978986904931,0.1683372332623197,0.44902734606922085,0.38263542066845946,58528.788126579915,441.05694580078125,2015,21.26984851240864,0.18163771712158808,0.4173697270471464,0.40099255583126553,48.43603570196737,2248.151611328125,3564,24.831946558660704,0.21464646464646464,0.4009539842873176,0.38439955106621776,78.7174962779716
H1,7,1647740.375,28633,5870.746261761579,0.16365731847867845,0.4503894108196836,0.385953270701638,57358.946366654964,1297.291015625,2015,25.75255417891854,0.18064516129032257,0.41786600496277915,0.40148883374689825,65.5729368818496,2678.235107421875,3564,30.066396262158,0.21296296296296297,0.4015151515151515,0.38552188552188554,98.42903723328594
H1,8,1543066.0,28633,5607.888903985477,0.15702161841232146,0.4538469598016275,0.38913142178605103,52565.41586376468,1756.0023193359375,2015,31.236083621738146,0.1771712158808933,0.42034739454094294,0.40248138957816376,82.43376945045168,3066.101806640625,3564,36.72003353021657,0.20763187429854096,0.40404040404040403,0.388327721661055,119.88219766924668
H1,9,1513897.5,28633,6681.355841135094,0.15324974679565537,0.456571089302553,0.390214088638983,57936.37054538174,3236.252197265625,2015,36.081698382615485,0.1771712158808933,0.42233250620347396,0.40049627791563275,112.53157287886138,3708.09765625,3564,43.4631547205011,0.20707070707070707,0.4057239057239057,0.3872053872053872,158.04135720535947
H1,10,1685551.125,28633,7933.380705317562,0.14713791778716864,0.46041281039360177,0.39244927181922956,68536.64954646875,4308.77880859375,2015,41.995029461138856,0.17568238213399504,0.4238213399503722,0.40049627791563275,139.66762187571325,4340.8603515625,3564,51.7961214865417,0.20398428731762064,0.40824915824915825,0.3877665544332211,198.05881854217705
H1,11,2084574.625,28633,9360.976074410195,0.14134041141340412,0.46484825201690355,0.3938113365696923,76795.01781433674,5114.92919921875,2015,46.35649879761248,0.17270471464019851,0.426302729528536,0.40099255583126553,160.94929960616295,5292.20751953125,3564,58.06866778118427,0.20230078563411896,0.4102132435465769,0.38748597081930414,230.91814787725917
H1,12,2454634.75,28633,11804.572884021702,0.13547305556525688,0.4707156078650508,0.3938113365696923,88607.89277061459,5604.29443359375,2015,52.485474185118534,0.16923076923076924,0.426302729528536,0.4044665012406948,177.81754193436458,6689.95703125,3564,66.04794868973586,0.1994949494949495,0.4110549943883277,0.3894500561167228,264.01231637936536
H1,13,2730421.75,28633,13112.027593911427,0.13232982921803513,0.4747668773792477,0.3929382181399085,93268.78888593736,6497.28759765625,2015,59.90101545223266,0.1687344913151365,0.4267990074441687,0.4044665012406948,210.68783350979228,219177.703125,3564,199.67147637708175,0.19921436588103256,0.4116161616161616,0.3891694725028058,5160.51324121336
