checkpoint,face_proxy_scale,gt_face_residual_rmse,hdf_start_index,matched_hdf_event,num_hydrographs,pred_face_residual_rmse,pred_vs_gt_delta_rmse,rollout_length,zone_0_gt_face_residual_rmse,zone_0_pred_face_residual_rmse,zone_0_pred_vs_gt_delta_rmse,zone_1_gt_face_residual_rmse,zone_1_pred_face_residual_rmse,zone_1_pred_vs_gt_delta_rmse,zone_2_gt_face_residual_rmse,zone_2_pred_face_residual_rmse,zone_2_pred_vs_gt_delta_rmse,zone_3_gt_face_residual_rmse,zone_3_pred_face_residual_rmse,zone_3_pred_vs_gt_delta_rmse
h1h6_zone1_w1e9_e5_full,0.0010040224751315286,2240.1942426045734,0,True,6,188.82119047376844,2299.267602030436,30,2572.5774794684517,174.6740042792426,2637.410056728787,2004.5891648186578,209.5210840013292,2062.891283671061,1705.4406720903185,200.3737705230713,1766.6357991536458,1761.6773451911079,175.89467557271323,1790.9178373972575
h1h6_w1e9_e5_full,0.0007915912734461017,2492.3589341057673,0,True,6,174.99776204427084,2562.373664855957,30,2747.1189867655435,164.66834233601887,2816.774279022217,2250.965825483534,192.2366101582845,2324.4483777364094,2162.3172738393146,184.82076534695096,2244.2524234347875,2234.891554260254,159.4593083275689,2287.3193899366593
h1h6_noface_e5_full,0.0008408725549492778,2560.91156539917,0,True,6,205.0273284064399,2653.242351786296,30,2709.4403065151637,186.19662628173828,2791.4568227132163,2366.054545847575,220.53506359524198,2460.699959394667,2422.7653761545816,223.87043601142037,2542.484159596761,2485.591458299425,217.11990076700846,2590.5558650546604
