checkpoint,requested_epoch,loaded_epoch,cell_balance_mae_ft3,cell_balance_mse_ft6,cell_balance_rmse_ft3,cell_mse_loss,num_cell_samples,num_one_step_hydrographs,num_rollout_hydrographs,one_step_mse_loss,one_step_zone_0_rmse,one_step_zone_0_volume_rmse,one_step_zone_0_wd_rmse,one_step_zone_1_rmse,one_step_zone_1_volume_rmse,one_step_zone_1_wd_rmse,one_step_zone_2_rmse,one_step_zone_2_volume_rmse,one_step_zone_2_wd_rmse,one_step_zone_3_rmse,one_step_zone_3_volume_rmse,one_step_zone_3_wd_rmse,one_step_zone_loss,relative_cell_balance_rmse,rollout_length,rollout_rmse,rollout_volume_rmse,rollout_wd_rmse,target_budget_rms_ft3,zone_0_rollout_rmse,zone_0_rollout_volume_rmse,zone_0_rollout_wd_rmse,zone_1_rollout_rmse,zone_1_rollout_volume_rmse,zone_1_rollout_wd_rmse,zone_2_rollout_rmse,zone_2_rollout_volume_rmse,zone_2_rollout_wd_rmse,zone_3_cell_balance_mae_ft3,zone_3_cell_balance_mse_ft6,zone_3_cell_balance_rmse_ft3,zone_3_rollout_rmse,zone_3_rollout_volume_rmse,zone_3_rollout_wd_rmse
edgeflux_head_high_w3e9_scale1,20,20,409.56928046973974,391694.0221706081,625.8546334178634,6.528245243365795e-05,148,6,6,6.417313185617483e-05,0.008535353544478616,0.010123929164061943,0.00652665738016367,0.0065139303139100475,0.006463984027504921,0.006560707464814186,0.0069064847969760495,0.0045387335897733765,0.008639471372589469,0.009899699284384647,0.0032619995375474295,0.01360939908772707,6.779066764768989e-05,0.8854803968776274,10,0.03963672965764999,0.041442393821974594,0.037697500875219704,706.7967124114166,0.041942882204117876,0.05129514189126591,0.02965886522239695,0.03351708487607539,0.03493449087254703,0.03200010477254788,0.033482560755995414,0.024628721829503774,0.040393876773305235,134.51744729119378,94276.04866976352,307.0440500478124,0.049922588374465705,0.0174698334109659,0.06839855274495979
edgeflux_head_high_w3e9_scale1,21,21,322.7101817775417,185483.3992820946,430.6778369989505,4.2835653931507366e-05,148,6,6,6.516042109675861e-05,0.009106078029920658,0.010872662222633759,0.006869432516396046,0.006224011303856969,0.005483451144148906,0.0068735647170494,0.006219514645636082,0.0039539621987690525,0.007854474320386847,0.009200572269037366,0.003095029969699681,0.01263286421696345,5.82800936778464e-05,0.6093376347628777,10,0.03956949334436407,0.041616505531904595,0.03740266584791243,706.7967124114166,0.044418042448038854,0.054205508328353365,0.03167145384165148,0.03173036923011144,0.028446582479712865,0.03468123301087568,0.029295453056693076,0.02061547551614543,0.035902998068680365,138.437898996714,95629.97983530405,309.2409737329516,0.045945677494940655,0.016689161688555033,0.06279131838430961
edgeflux_head_high_w3e9_scale1,22,22,362.87648690713416,283888.3299197635,532.811720891877,5.239294721438971e-05,148,6,6,5.728988071496133e-05,0.008061509036148587,0.00953508261591196,0.006212615019952257,0.006051705218851566,0.005749362520873547,0.006330791550378005,0.006503669777885079,0.004195578667956094,0.008175301132723689,0.009619919893642267,0.0033150680052737394,0.013186851516366005,6.219293451673973e-05,0.7538401233843526,10,0.03720576085615903,0.03829528385152419,0.03605702835290382,706.7967124114166,0.03946171517794331,0.04809421161189675,0.02820718753306816,0.03044220709707588,0.0300685730141898,0.03076660184500118,0.030969415496413907,0.022251350370546184,0.037689349303642906,131.98670938852672,101274.73865076013,318.23692219910646,0.048664712944688895,0.018036686788157872,0.06640785384612778
edgeflux_head_high_w3e9_scale1,23,23,449.05241414662953,287086.31297508447,535.8043607279475,6.469808593809264e-05,148,6,6,7.57820344006177e-05,0.008904785849153996,0.010674836734930674,0.006665199141328533,0.00773907972810169,0.00865602819249034,0.006695964839309454,0.007987424653644363,0.006501291956131657,0.009228721571465334,0.010733232367783785,0.004279365491432448,0.014561411924660206,8.437293581664562e-05,0.7580742118903111,10,0.04478954308045407,0.04615027535085877,0.04333089427867284,706.7967124114166,0.04544258864286045,0.051996767645080884,0.03755583225283772,0.0410560044227168,0.04662118505996962,0.03456468414515257,0.04101914406443636,0.03591097667813301,0.04550494879173736,279.89746073130016,145455.48273859796,381.3862644860168,0.05509074909302095,0.023718419185994814,0.07420103174323837
edgeflux_head_high_w3e9_scale1,24,24,466.1626085848422,641080.6739864865,800.675136360863,9.205534395831007e-05,148,6,6,6.413995773376276e-05,0.008328449524318179,0.010274939239025116,0.0057333028720070916,0.006398733550061782,0.005990800602982442,0.006770473439246416,0.0070467865249762935,0.004808004091804226,0.008715507496769229,0.01076669804751873,0.0039153175894171,0.014704531834771236,7.53374764220401e-05,1.1328223834391593,10,0.04069825974293053,0.04240505172250172,0.038909733605881534,706.7967124114166,0.04189454899169505,0.05306547675281763,0.026300353254191576,0.032752194340961674,0.032080810292003055,0.03338709754558901,0.03563411337478707,0.0270513406333824,0.04250239133058737,164.5441139839791,126838.86512880068,356.1444441919608,0.05697779090454181,0.022062546592981864,0.07748941535440584
edgeflux_head_high_w3e9_scale1,25,25,428.67531606313344,513261.9238809122,716.4230062476443,7.790377509770003e-05,148,6,6,5.994254752295092e-05,0.00798340296993653,0.009416415666540464,0.006203556666150689,0.006250604211042325,0.005879916328315933,0.00659831582258145,0.006790155001605551,0.004336294252425432,0.008558283715198437,0.010612410182754198,0.0037374980747699738,0.014528961076090733,7.22076729289256e-05,1.0136196075437096,10,0.03863286395402004,0.03870388571328173,0.03855283226196964,706.7967124114166,0.03902347579132766,0.047760574892163274,0.02753830242436379,0.03147441130907585,0.03140616709521661,0.03151601829255621,0.033982918302839,0.02410632292740047,0.041565430071204904,154.94681672792177,126607.18396326013,355.8190326040193,0.055962092553575836,0.02105908211087808,0.07628223326367636
edgeflux_head_high_w3e9_scale1,26,26,401.88393257759714,399841.0709459459,632.3298751015533,6.370548097136732e-05,148,6,6,5.527728414260006e-05,0.0077483144123107195,0.009437064950664839,0.00555405222500364,0.0060036260013779,0.005605306398744385,0.006373185353974502,0.006401040746519963,0.004128786735236645,0.008046955491105715,0.010028505387405554,0.00376525540680935,0.013664691398541132,6.471454010655482e-05,0.8946417887884611,10,0.03700999657157809,0.03856354777235538,0.03537618697155267,706.7967124114166,0.038524685249043004,0.04831970074834923,0.02507663913226376,0.029895822610706092,0.029545413229304054,0.030217196349985896,0.030820613633841275,0.022901295886064568,0.03707186548660199,170.41068989521747,129862.04333826013,360.36376529593,0.05171739465246598,0.021282582710652302,0.0699591856294622
edgeflux_head_high_w3e9_scale1,27,27,361.4566007047086,300625.9589315878,548.2936794561723,5.218867384403868e-05,148,6,6,5.175873654176636e-05,0.0076496482361108065,0.009193836400906244,0.0056981676413367195,0.00553531339392066,0.005106189365809162,0.005932114397486051,0.006124529056251049,0.003991647584674259,0.0076772776277114945,0.009599506699790558,0.0034281492310886583,0.01312883043040832,5.876963283905449e-05,0.7757445243138287,10,0.03563129392762979,0.03706308875698596,0.034134697370852035,706.7967124114166,0.037872406250486775,0.04688879679888487,0.02584388628602028,0.027548343719293673,0.026898676281174025,0.02816881416365504,0.02945063558096687,0.0223359410961469,0.03513897295730809,138.35316905459842,118743.33572635135,344.59154912207487,0.04887211706178884,0.020013532682787626,0.06614202032797038
edgeflux_head_high_w3e9_scale1,28,28,389.17108546076594,447410.9172297297,668.8878211103337,6.561754744816917e-05,148,6,6,5.176236845727544e-05,0.007664903920764725,0.009166102856397629,0.0057688141241669655,0.005471699017410477,0.004900003628184398,0.005988495424389839,0.006205225984255473,0.0038751896548395357,0.007864511338993907,0.00954082359870275,0.003456123056821525,0.013033633741239706,5.843323318307133e-05,0.9463652127473159,10,0.03555542641940216,0.03639860500115901,0.0346817426616326,706.7967124114166,0.03789827050641179,0.04627752544668814,0.026958059201327465,0.02731519517643998,0.025397045980207623,0.029094056296162307,0.029692792845889927,0.021818261372391134,0.03586258313929041,139.06751168740763,128095.46558277027,357.90426874063724,0.04830491327059765,0.02052958544033269,0.06513915797695517
edgeflux_head_high_w3e9_scale1,29,29,421.63835247142896,459277.7141047297,677.7003128999792,7.03434387941269e-05,148,6,6,5.407000450456204e-05,0.0076994251770277815,0.00965324928984046,0.005019460339099169,0.005328818457201123,0.0051876519961903496,0.005461816520740588,0.006429903209209442,0.003997774833502869,0.008158725608761111,0.01049863500520587,0.003285688658555349,0.014475784730166197,6.686675078526605e-05,0.9588334255090581,10,0.037046399518537027,0.038084616496538125,0.03597050767857581,706.7967124114166,0.03817717085282008,0.04855775440422197,0.023528612816395858,0.02716701520451655,0.027083547692745923,0.027230283346337578,0.03227977210966249,0.022189225590166946,0.03988694336730987,138.3025750340642,122033.16944679055,349.33246262949933,0.055389264582966766,0.019390497348892193,0.07587782891156773
