checkpoint,requested_epoch,loaded_epoch,cell_balance_mae_ft3,cell_balance_mse_ft6,cell_balance_rmse_ft3,cell_mse_loss,num_cell_samples,num_one_step_hydrographs,num_rollout_hydrographs,one_step_mse_loss,one_step_zone_0_rmse,one_step_zone_0_volume_rmse,one_step_zone_0_wd_rmse,one_step_zone_1_rmse,one_step_zone_1_volume_rmse,one_step_zone_1_wd_rmse,one_step_zone_2_rmse,one_step_zone_2_volume_rmse,one_step_zone_2_wd_rmse,one_step_zone_3_rmse,one_step_zone_3_volume_rmse,one_step_zone_3_wd_rmse,one_step_zone_loss,relative_cell_balance_rmse,rollout_length,rollout_rmse,rollout_volume_rmse,rollout_wd_rmse,target_budget_rms_ft3,zone_0_rollout_rmse,zone_0_rollout_volume_rmse,zone_0_rollout_wd_rmse,zone_1_rollout_rmse,zone_1_rollout_volume_rmse,zone_1_rollout_wd_rmse,zone_2_rollout_rmse,zone_2_rollout_volume_rmse,zone_2_rollout_wd_rmse,zone_3_cell_balance_mae_ft3,zone_3_cell_balance_mse_ft6,zone_3_cell_balance_rmse_ft3,zone_3_rollout_rmse,zone_3_rollout_volume_rmse,zone_3_rollout_wd_rmse
cellbalance_high_w3e9_e50_seed0,0,0,1181.6985242688977,2195219.8673986485,1481.6274387978406,0.0007557693205780123,148,6,6,0.0008163505020396163,0.02864593391617139,0.024082505144178867,0.03254113097985586,0.029861993466814358,0.024401832061509292,0.0343246137102445,0.027529677686591942,0.01718420038620631,0.034892028818527855,0.0248360401019454,0.014250492056210836,0.03201035720606645,0.0007378443842753768,2.0962568342216703,10,0.14505759698028367,0.112341970205307,0.17146905058374007,706.7967124114166,0.1478819590061903,0.12352327530582746,0.16860218675186237,0.15343830762431027,0.11961553767323493,0.18025172483175994,0.13691760562360286,0.08620178252458573,0.1733093909919262,755.1147394953547,923516.4286317568,960.9976215536419,0.1192994545524319,0.061865090780581035,0.15684876510252554
cellbalance_high_w3e9_e50_seed0,1,1,1017.4603708628061,1565648.9763513512,1251.2589565519006,0.0004895186805672868,148,6,6,0.0005554249413156261,0.02276408765465021,0.01830699263761441,0.02639984618872404,0.025388324012358982,0.02155951534708341,0.02862814503411452,0.02329142267505328,0.014982027156899372,0.02931606334944566,0.021583121890823048,0.012876660252610842,0.027577983525892098,0.0005404161929618567,1.7703236794677677,10,0.11807683818042278,0.0926815589889884,0.13878043700630466,706.7967124114166,0.11515808043380578,0.09300969398270051,0.13349753695850572,0.12987158413355548,0.1094314092459778,0.14714560294523835,0.11392534663900733,0.07810150044970214,0.14087993778909247,741.1044678559174,824450.331714527,907.9924733798882,0.10674597372611364,0.06147793969139457,0.13773249133179585
cellbalance_high_w3e9_e50_seed0,2,2,773.9575162320524,979278.9201858108,989.5852263376868,0.0003256070550697906,148,6,6,0.00036985810826687765,0.01908297122766574,0.016820726916193962,0.02103390172123909,0.01968547732879718,0.015191781179358562,0.023299325567980606,0.019078437549372513,0.010235376345614592,0.024953537620604038,0.018443478581806023,0.00701800958874325,0.025100752400855224,0.00036187727528158575,1.400098796387246,10,0.09451232238983115,0.07496180979845425,0.11055220114067196,706.7967124114166,0.09412504214172562,0.08608400689748426,0.10118611694003145,0.09778676523516576,0.07636525582832594,0.11520327267547449,0.09200375617171327,0.05170914488844573,0.11937458788355192,391.4307780910183,283479.32421875,532.4277643199592,0.09157777512446046,0.03233232935890555,0.12537156172717612
cellbalance_high_w3e9_e50_seed0,3,3,779.5659381763355,927858.2647804054,963.2539980609504,0.0002699555263609147,148,6,6,0.00030585684968779486,0.01657869465028246,0.015008249320089817,0.01796302820245425,0.01881755857417981,0.016741406172513962,0.020644016253451507,0.017833908398946125,0.011996128285924593,0.022157731465995312,0.01757908829798301,0.009011904010549188,0.02311811751375596,0.0003243085035743813,1.3628444800974875,10,0.08573730261996389,0.07327089081518352,0.09656882022197048,706.7967124114166,0.08111719392860929,0.07488351049833,0.08673399516070883,0.09291151069725553,0.08543588416650891,0.0997626323873798,0.08652280395229657,0.061272644080842535,0.10584958118076125,526.8217328045819,442713.6085304054,665.3672734140187,0.08724350249394774,0.04348367925267667,0.11529041131337484
cellbalance_high_w3e9_e50_seed0,4,4,671.3161126214105,701711.4736064189,837.6822032288969,0.00020811594112200437,148,6,6,0.0002353615200263448,0.014765505058070024,0.013561144626388947,0.015846325395007927,0.015883850554625194,0.014134185699125132,0.017431187132994335,0.015622252132743597,0.010031353061397871,0.019657069196303684,0.01608221558853984,0.0068790865285942955,0.021648989369471867,0.00025289821011635166,1.1851812388472085,10,0.07515416999037067,0.06490487434590857,0.08413105541840196,706.7967124114166,0.072787633119151,0.06849627648480236,0.07667314025262992,0.0781559887031714,0.0736625640032192,0.08237069106350342,0.07491799588315189,0.05215702444935839,0.09215774269153675,396.871838750066,272900.2183277027,522.3985244310159,0.07877018883203467,0.03481956590743115,0.10573851425821583
cellbalance_high_w3e9_e50_seed0,5,5,629.9006261052313,616339.6233108108,785.0730050834832,0.00017493967361342338,148,6,6,0.00019145937403663993,0.013448673921326796,0.012868889141827822,0.013986168584475914,0.01383704241986076,0.012513475492596626,0.01502477036168178,0.01419847815607985,0.009474636365969976,0.017674402954677742,0.01492090274890264,0.006230176116029422,0.020127118875583012,0.00020851322915405035,1.1107479580727069,10,0.06818197929921249,0.061100853607058525,0.07457462629924218,706.7967124114166,0.06706680714463194,0.06587252466318508,0.06813601686929663,0.06841483420381943,0.06651522192793588,0.07021990559684733,0.0678714258906742,0.04966138742553691,0.08204569146037102,365.1252896076924,232093.2173775338,481.7605394566203,0.07303545461036265,0.03262024523379902,0.09789990497132142
cellbalance_high_w3e9_e50_seed0,6,6,558.2926916173986,494816.33234797296,703.4318249467912,0.00014295429743494447,148,6,6,0.00015661444437379637,0.01242363809918364,0.011947833777715763,0.012871386328091225,0.012142224392543236,0.010474038155128559,0.013597977968553701,0.01252057682722807,0.007866005335624019,0.015838792858024437,0.013652526773512363,0.005094724319254358,0.01858901046216488,0.00016729525426247469,0.9952392429031747,10,0.061736954872806865,0.05457229181192815,0.06813601458755632,706.7967124114166,0.06220607167730729,0.061372138233855365,0.0628943084118267,0.05986569058150053,0.05597213182287911,0.06348196693385641,0.05989305884577334,0.041458053739431004,0.07378054899163544,299.8142484716467,163700.68359375,404.5994112622385,0.06654476250211398,0.02743483610296001,0.08991779259716472
cellbalance_high_w3e9_e50_seed0,7,7,526.7171030817805,456965.5274493243,675.9922539861861,0.00012750958091134167,148,6,6,0.00013646211785574755,0.011744252406060696,0.011698923849811157,0.011782291500518719,0.011129796194533506,0.009460735755662123,0.012574345183869204,0.01153814730544885,0.007224069520210226,0.014594780281186104,0.01271354453638196,0.004382805316708982,0.01740097797786196,0.00014329867553897202,0.9564168057316887,10,0.057958624651655556,0.0517789195291698,0.06351536225217085,706.7967124114166,0.05929780110406379,0.0601227777544409,0.058228860360880694,0.05499430658916633,0.05008410983718932,0.059473501378670336,0.05535982297733426,0.03783455558586866,0.06839737906120717,238.03159187935495,113517.16466955237,336.92308420402475,0.06220690011978149,0.023078646572927634,0.08475527319436273
cellbalance_high_w3e9_e50_seed0,8,8,490.89419617524015,406610.3190456081,637.6600340664359,0.00010834741255707372,148,6,6,0.00012269300592985624,0.011475729911277691,0.010995799209922552,0.011918627191334963,0.01043654993797342,0.009052024533351263,0.011640071092794338,0.010370293321708838,0.006304685181627671,0.013228945899754763,0.011530834094931683,0.003713548299856484,0.01586730203901728,0.00011880132660735399,0.9021830787680047,10,0.05439897041457395,0.04802258446191748,0.06003366676159203,706.7967124114166,0.05697814120600621,0.05599407524180909,0.057625646345938246,0.05147046123941739,0.047498014227797584,0.055095261971776686,0.049510195727149646,0.032776859720858434,0.06183559955097735,184.3856611509581,76523.85148331926,276.6294479684317,0.05587211201588313,0.019116445169008026,0.07663351766144236
cellbalance_high_w3e9_e50_seed0,9,9,536.0710878114443,509310.8965371622,713.6602108406788,0.00013766110458999646,148,6,6,0.00014845459615268433,0.013145766841868559,0.012967215540508429,0.013273342357327541,0.010992089286446571,0.008902085789789757,0.012695604469627142,0.010939767118543386,0.005836863769218326,0.014297512670358023,0.011636006645858288,0.004343672888353467,0.015853349740306538,0.0001283183252477708,1.009710710744318,10,0.06277396216367682,0.0529863559640944,0.07106960178352892,706.7967124114166,0.06732825116875271,0.06552090410453577,0.06890815344328681,0.05991358555232485,0.04598919075603287,0.0709700101831307,0.05547727777933081,0.02959220688790083,0.07258586107442776,228.56683741389094,113603.7258762669,337.0515181337519,0.05739276177870731,0.020954637764953078,0.07839227818573515
cellbalance_high_w3e9_e50_seed0,10,10,456.33496423669766,345915.9730785473,588.146217431131,8.887196162430809e-05,148,6,6,0.00010736926560639404,0.010699375377347073,0.01056906549880902,0.010752774775028229,0.00977925956249237,0.00840677802140514,0.010947802569717169,0.009714359572778145,0.005362831211338441,0.012632728709528843,0.010869632009416819,0.0035538799905528626,0.014949520273754993,0.00010499996521199743,0.8321292489102288,10,0.050412219623103736,0.04489395913357536,0.05528605670357744,706.7967124114166,0.052588192947829765,0.05311142415739596,0.05168895393920441,0.04828699394129217,0.04384342902339995,0.05230020664942761,0.045717215584591034,0.027702492948931953,0.05838991940642397,165.57322301091375,59353.26761771537,243.62526063139546,0.051718251593410966,0.018543082755059004,0.07073627064625422
