hydrograph_id,transition_index,all_face_abs_max,all_face_count,all_face_mae,all_face_near_zero_fraction,all_face_negative_fraction,all_face_positive_fraction,all_face_rms,zone3_internal_abs_max,zone3_internal_count,zone3_internal_mae,zone3_internal_near_zero_fraction,zone3_internal_negative_fraction,zone3_internal_positive_fraction,zone3_internal_rms,zone3_touch_abs_max,zone3_touch_count,zone3_touch_mae,zone3_touch_near_zero_fraction,zone3_touch_negative_fraction,zone3_touch_positive_fraction,zone3_touch_rms
H10,0,1464764.625,28633,792.4910059617475,0.24195857926169106,0.4082003282925296,0.35012049034331016,22475.4380287873,5.77079963684082,2015,0.21767065252780418,0.22133995037220844,0.39602977667493794,0.38312655086848635,0.5687733059028389,20.963869094848633,3564,0.2685904214888938,0.26402918069584735,0.38047138047138046,0.356341189674523,0.8861746673077214
H10,1,2590429.5,28633,3818.0457436929487,0.22498515698669366,0.4165822652184542,0.3585722767436175,65629.36445217977,22.92599105834961,2015,1.3150707300503846,0.20794044665012407,0.40397022332506205,0.3880893300248139,2.777066849975993,75.8964614868164,3564,1.5318161365019898,0.24831649831649832,0.3886083052749719,0.3633557800224467,3.8464204745347503
H10,2,2283163.75,28633,3699.0463700894493,0.202633325184228,0.4281772779659833,0.3691893968497887,59612.558413305465,87.52484893798828,2015,5.020569019378258,0.19503722084367245,0.4099255583126551,0.39503722084367243,10.93623386851322,248.843017578125,3564,5.609586854747958,0.23232323232323232,0.3950617283950617,0.372615039281706,13.580919870600976
H10,3,1809543.375,28633,3618.61942726008,0.19320364614256277,0.4346732790835749,0.3722627737226277,53488.46688369598,303.6801452636719,2015,9.534615638498359,0.19255583126550868,0.4143920595533499,0.3930521091811414,22.587469027082356,700.5748901367188,3564,10.683931184638206,0.22783389450056116,0.39590347923681257,0.37626262626262624,30.30716966857317
H10,4,1742431.25,28633,3775.7691478471434,0.18056089127929312,0.44141375336150596,0.3780952048335836,49552.10948777844,358.4801940917969,2015,14.70699947880233,0.1870967741935484,0.4148883374689826,0.39851116625310173,33.434725330660605,1224.55615234375,3564,16.77384941583134,0.22053872053872053,0.39758698092031425,0.38215488215488214,48.971090325264136
H10,5,1769939.5,28633,5013.301515836535,0.1742395138476583,0.44633814130548666,0.3794921943212377,55466.257100248986,411.9779357910156,2015,18.820829671802098,0.18511166253101738,0.4163771712158809,0.39851116625310173,43.16026486467496,1893.9105224609375,3564,21.81093500517755,0.2185746352413019,0.398989898989899,0.3824354657687991,68.57072329712082
H10,6,1784148.5,28633,6277.304258948769,0.16473998533161038,0.45070373345440573,0.3846261306883666,62927.82623583371,588.8535766601562,2015,24.359147426893813,0.18064516129032257,0.41885856079404465,0.40148883374689825,56.368901005681984,2487.421142578125,3564,28.30522093633033,0.21296296296296297,0.40235690235690236,0.38524130190796857,88.75539897328997
H10,7,1636682.0,28633,5618.339688293329,0.16026961897111724,0.45224042189082525,0.38752488387524886,54283.887816531125,1439.055908203125,2015,29.253840405329203,0.17866004962779156,0.41935483870967744,0.40198511166253104,74.7416247939675,2941.583740234375,3564,34.12448733769204,0.2107182940516274,0.40263748597081933,0.3866442199775533,110.53621475152741
H10,8,1531977.875,28633,6077.555518559339,0.15345929521880347,0.45566304613557784,0.39091258338281004,54003.05023496272,2282.857177734375,2015,35.64078380981964,0.17667493796526054,0.4218362282878412,0.40148883374689825,97.96925958526691,3557.413330078125,3564,42.14803361343236,0.2059483726150393,0.4054433221099888,0.3886083052749719,140.48683802622273
H10,9,1574592.875,28633,7703.974677625561,0.1493032514930325,0.45894597143156496,0.3917507770754025,66508.27968968486,3830.204833984375,2015,40.82004386802913,0.17667493796526054,0.4228287841191067,0.40049627791563275,130.65285335387318,4038.6455078125,3564,49.48461351251536,0.2048260381593715,0.4074074074074074,0.3877665544332211,183.41102163799658
H10,10,1950336.75,28633,8802.9550398309,0.14165473404812629,0.4642894562218419,0.39409073446722315,73240.11552848283,4836.5322265625,2015,47.24280246701183,0.169727047146402,0.4272952853598015,0.40297766749379654,157.25930673558497,4998.25390625,3564,58.63586061396431,0.20033670033670034,0.4107744107744108,0.3888888888888889,223.73604363280015
H10,11,2300848.5,28633,10641.05997874496,0.13697481926448504,0.4690392204798659,0.3939859602556491,82868.04624750864,5512.1083984375,2015,52.518291477388416,0.169727047146402,0.4267990074441687,0.40347394540942927,177.32742208272077,6291.591796875,3564,65.65203327757085,0.20033670033670034,0.4107744107744108,0.3888888888888889,259.16781620153455
H10,12,2595990.0,28633,12546.53065766799,0.1317710334229735,0.47364928578912446,0.3946146055250934,90769.7863470752,6410.0224609375,2015,59.83472381888378,0.1687344913151365,0.426302729528536,0.40496277915632756,203.4415260542541,110318.203125,3564,137.46870615822132,0.19809203142536475,0.4110549943883277,0.39085297418630754,2583.744885614625
H10,13,2778095.5,28633,13704.701767099052,0.1293263018195788,0.4768972863479202,0.3938113365696923,92804.02024653746,7335.2724609375,2015,68.66883817677633,0.16823821339950373,0.4277915632754342,0.40397022332506205,244.88676744935307,363515.125,3564,293.3206598694801,0.1972502805836139,0.4127384960718294,0.3900112233445567,8617.203077099295
H10,14,2893293.0,28633,15487.859877506275,0.12510040861942515,0.4774910068801732,0.397443509237593,96839.8761941116,19952.404296875,2015,94.08007186729154,0.16674937965260547,0.4272952853598015,0.40595533498759306,624.1471202687615,362403.125,3564,319.54190832819995,0.19584736251402918,0.41245791245791247,0.39197530864197533,8567.011217629863
H10,15,2982037.0,28633,17087.7212860202,0.12276045122760451,0.4769322110851116,0.40041211189885795,100687.69246729005,44476.65234375,2015,153.7969149295095,0.1662531017369727,0.430272952853598,0.40347394540942927,1516.4285876725378,373929.03125,3564,385.62865008316516,0.19444444444444445,0.41386083052749717,0.39197530864197533,8892.70445257593
H10,16,3065582.25,28633,17324.90987128663,0.11940767645723466,0.47763070582893863,0.40299654245101807,101881.3042953156,343647.125,2015,1156.2548964041005,0.16476426799007443,0.430272952853598,0.40496277915632756,17535.40564955614,401117.25,3564,1183.1399044415823,0.1919191919191919,0.414983164983165,0.3930976430976431,17674.187810910204
H10,17,3164703.75,28633,17919.280672439116,0.11689309537945727,0.4774910068801732,0.40565082247756085,105310.3715937288,690462.5,2015,2287.0314715972454,0.16476426799007443,0.4297766749379653,0.4054590570719603,35987.42986913146,690462.5,3564,2082.535774204476,0.19079685746352412,0.4158249158249158,0.39337822671156003,32285.380210463005
H10,18,3244272.5,28633,18940.927574019162,0.11388956798100094,0.48094855586211716,0.4051968008940733,108736.42894751554,774446.625,2015,2534.847448158934,0.16228287841191066,0.4312655086848635,0.4064516129032258,39779.23105194822,774446.625,3564,2503.254731950586,0.1893939393939394,0.41778900112233447,0.39281705948372614,36145.85325652558
H10,19,3233807.25,28633,22406.415942210962,0.11088604058254461,0.48520937379946216,0.40393951035518455,129755.22552913321,1824648.75,2015,6202.394553327141,0.15930521091811414,0.4307692307692308,0.4099255583126551,89165.35441084542,1824648.75,3564,6613.599569044634,0.18462401795735128,0.41891133557800225,0.39646464646464646,79623.56362325403
H10,20,3198761.25,28633,21917.56081662601,0.10879055635106345,0.48699053539622117,0.40425383298990675,118438.12437517256,1382828.125,2015,5982.548507401669,0.15781637717121588,0.430272952853598,0.4119106699751861,67018.02246512001,1382828.125,3564,8097.487520668915,0.18237934904601572,0.41975308641975306,0.3978675645342312,68223.74078347674
H10,21,3249674.5,28633,23189.21566499893,0.106764921593965,0.49135612754514024,0.4019138755980861,121147.39190068135,1301911.875,2015,7879.824744331514,0.15533498759305212,0.4317617866004963,0.4129032258064516,71824.5800236133,1301911.875,3564,11461.476805776192,0.18013468013468015,0.4214365881032548,0.3984287317620651,82179.7552867773
