checkpoint,face_proxy_scale,gt_face_residual_rmse,hdf_start_index,matched_hdf_event,num_hydrographs,pred_face_residual_rmse,pred_vs_gt_delta_rmse,proxy_scale_reference,rollout_length,zone_0_gt_face_residual_rmse,zone_0_pred_face_residual_rmse,zone_0_pred_vs_gt_delta_rmse,zone_1_gt_face_residual_rmse,zone_1_pred_face_residual_rmse,zone_1_pred_vs_gt_delta_rmse,zone_2_gt_face_residual_rmse,zone_2_pred_face_residual_rmse,zone_2_pred_vs_gt_delta_rmse,zone_3_gt_face_residual_rmse,zone_3_pred_face_residual_rmse,zone_3_pred_vs_gt_delta_rmse
h1h6_zone1_w1e9_e5_full,0.0001722269444144331,166.4811698913574,0,True,6,128.51930046081543,189.77969462076823,ground_truth,10,197.79013951619467,140.64839833577474,221.73718388875326,149.1633768717448,121.93458722432455,172.99826482137044,99.10477078755697,116.83610000610352,132.901771291097,121.06740404764811,95.89008700052896,129.91498870849608
h1h6_zone1_e5_full,0.00017222694392936925,166.4811698913574,0,True,6,148.3613723754883,210.87945938110352,ground_truth,10,197.79013951619467,155.0917839050293,240.74976755777996,149.16337661743165,137.03230158487955,196.76493225097656,99.10477078755697,144.79559478759765,160.74080123901368,121.06740404764811,147.1824508666992,152.0906079610189
h1h6_w1e9_e5_full,0.00017222694465696503,166.4811698913574,0,True,6,142.54448064168295,208.82014643351238,ground_truth,10,197.7901397705078,147.23818893432616,235.22356338500975,149.16337674458822,144.20423634847006,191.71694666544596,99.10477078755697,142.55655848185222,169.21949361165363,121.06740404764811,111.45254249572754,166.32973073323566
h1h6_noface_e5_full,0.00017222694465696503,166.4811698913574,0,True,6,168.93923110961913,215.09106063842773,ground_truth,10,197.79013951619467,166.65692214965821,233.63759791056316,149.16337649027506,165.90625508626303,201.71116307576497,99.10477078755697,179.13221384684246,190.3546340942383,121.06740404764811,169.34405949910482,189.24212112426758
