checkpoint,num_hydrographs,rollout_length,rollout_rmse,rollout_volume_rmse,rollout_wd_rmse,zone_0_rollout_rmse,zone_0_rollout_volume_rmse,zone_0_rollout_wd_rmse,zone_1_rollout_rmse,zone_1_rollout_volume_rmse,zone_1_rollout_wd_rmse,zone_2_rollout_rmse,zone_2_rollout_volume_rmse,zone_2_rollout_wd_rmse,zone_3_rollout_rmse,zone_3_rollout_volume_rmse,zone_3_rollout_wd_rmse
noface,3,25,0.12748257789760828,0.11756942267219225,0.1361566417788466,0.12037812146047751,0.12186695942034324,0.11800670903176069,0.1287801046669483,0.1281318113828699,0.12873262907067934,0.14076870063940683,0.10316753466924032,0.16959896604220073,0.13463731173425914,0.08484007041280468,0.17027062967419623
cellbalance_all_w3e9,3,25,0.10310035561521848,0.06623179420828819,0.12983009786655506,0.10093018719305595,0.07147310846174756,0.12332891783366601,0.09730029545724392,0.06277324830492338,0.12243057144184907,0.10074983481317759,0.056753944729765256,0.1306763737897078,0.12785263591756424,0.061250773339221874,0.17009339277942975
cellbalance_high_w3e9,3,25,0.10905530708531538,0.0888201334948341,0.12606747553994258,0.11300994481891394,0.10337615149716536,0.12178437291334072,0.10079937192300956,0.0862695354099075,0.11344529235114655,0.09866511886318524,0.06341295917828878,0.12421155562003454,0.12406883721550306,0.03916353380307555,0.17100922378400962
