checkpoint,requested_epoch,loaded_epoch,edge_head_scale,closure_bias_ft3,closure_mae_ft3,closure_relative_rmse,closure_rmse_ft3,closure_target_rms_ft3,divergence_bias_ft3,divergence_mae_ft3,divergence_relative_rmse,divergence_rmse_ft3,divergence_target_rms_ft3,divergence_target_weight,edge_flux_mae_ft3,edge_flux_rms_ft3,internal_face_bias_ft3,internal_face_mae_ft3,internal_face_relative_rmse,internal_face_rmse_ft3,internal_face_target_rms_ft3,num_samples,selected_edge_flux_head_loss,selected_hecras_edge_flux_closure_loss,selected_hecras_edge_flux_divergence_loss,selected_hecras_edge_flux_face_loss,total_node_bias_ft3,total_node_mae_ft3,total_node_relative_rmse,total_node_rmse_ft3,total_node_target_rms_ft3,zone_0_closure_bias_ft3,zone_0_closure_mae_ft3,zone_0_closure_relative_rmse,zone_0_closure_rmse_ft3,zone_0_closure_target_rms_ft3,zone_0_divergence_bias_ft3,zone_0_divergence_mae_ft3,zone_0_divergence_relative_rmse,zone_0_divergence_rmse_ft3,zone_0_divergence_target_rms_ft3,zone_0_total_node_bias_ft3,zone_0_total_node_mae_ft3,zone_0_total_node_relative_rmse,zone_0_total_node_rmse_ft3,zone_0_total_node_target_rms_ft3,zone_1_closure_bias_ft3,zone_1_closure_mae_ft3,zone_1_closure_relative_rmse,zone_1_closure_rmse_ft3,zone_1_closure_target_rms_ft3,zone_1_divergence_bias_ft3,zone_1_divergence_mae_ft3,zone_1_divergence_relative_rmse,zone_1_divergence_rmse_ft3,zone_1_divergence_target_rms_ft3,zone_1_total_node_bias_ft3,zone_1_total_node_mae_ft3,zone_1_total_node_relative_rmse,zone_1_total_node_rmse_ft3,zone_1_total_node_target_rms_ft3,zone_2_closure_bias_ft3,zone_2_closure_mae_ft3,zone_2_closure_relative_rmse,zone_2_closure_rmse_ft3,zone_2_closure_target_rms_ft3,zone_2_divergence_bias_ft3,zone_2_divergence_mae_ft3,zone_2_divergence_relative_rmse,zone_2_divergence_rmse_ft3,zone_2_divergence_target_rms_ft3,zone_2_total_node_bias_ft3,zone_2_total_node_mae_ft3,zone_2_total_node_relative_rmse,zone_2_total_node_rmse_ft3,zone_2_total_node_target_rms_ft3,zone_3_closure_bias_ft3,zone_3_closure_mae_ft3,zone_3_closure_relative_rmse,zone_3_closure_rmse_ft3,zone_3_closure_target_rms_ft3,zone_3_divergence_bias_ft3,zone_3_divergence_mae_ft3,zone_3_divergence_relative_rmse,zone_3_divergence_rmse_ft3,zone_3_divergence_target_rms_ft3,zone_3_total_node_bias_ft3,zone_3_total_node_mae_ft3,zone_3_total_node_relative_rmse,zone_3_total_node_rmse_ft3,zone_3_total_node_target_rms_ft3,zone_mode
scale1_epoch20,20,20,1.0,109.47827313236289,1065.1710914405617,43.23743460629437,31998.65087890625,740.3107308052681,-9.963757747755153e-07,1025.0956268310547,1.0001911186688655,32059.604413006757,32054.222986169763,1.0,109.46653902208483,219.92020405949773,731.3115604503735,14219.802754170185,1.0000180626237714,91417.9052734375,91415.2760768581,148,1619474.6087943413,28705.805611275337,1590768.7993889886,0.0,109.47827366759648,923.8760161528717,0.9965219388942461,2482.418448783256,2490.7900052457244,467.1045638306721,1263.0853073532517,16.888387982909745,16425.922221415753,967.0648651123047,-419.6694747306205,1254.804815756308,0.9990226038404413,16679.563215925886,16698.184322872676,47.43509081167144,1346.6089650746937,1.0027791857719421,3030.433634165171,3026.317166715055,-614.2577796111236,1566.109455830342,115.54902821618157,59505.15163112331,523.5622748297613,911.4192084235113,1407.093877019109,1.000400736525252,59505.47471494933,59482.04167546453,297.16142654418945,701.2187895903717,0.9981201617298899,1831.3184340193466,1838.698570045265,207.64705683733965,296.14689945530245,2.212779747875961,670.1354978406752,342.8358968786291,-108.76426880323403,287.46343762165793,0.9612506930087064,1752.086491146603,1791.4651217074008,98.8827877012459,449.0218727524216,0.9900348536871575,1530.1696863947689,1559.5946799613334,19.471865890799343,99.02958014204695,0.9564794523490442,166.66363690350508,177.37807175919815,-59.981082277020086,150.55952194574718,5.694953398527326,835.0362219423861,800.3674900491495,-40.50921738631016,195.1155131056502,6.246776758819013,845.994453120876,799.0351968480123,high
scale1_epoch28,28,28,1.0,36.32101027385609,1095.5789069098396,39.979480305233515,32003.116052576013,800.9097999366554,-8.635257607828542e-07,1084.4560278815193,1.0003652806217607,32064.83299461571,32054.222986169763,1.0,149.94501428346376,298.4287378465807,768.3311759201256,14240.4100160341,1.000022497934264,91418.69269953547,91415.2760768581,148,1577974.4965028504,16118.69179885452,1561855.7965846707,0.0,36.321011795385466,905.4116268673458,1.004069503497433,2499.8643856564086,2490.7900052457244,452.81494086376716,1417.0366483121304,15.243441549507347,16428.221993111274,1078.8588751715583,-437.96796757466086,1357.7283865438926,0.9991705888831938,16680.14071077914,16698.184322872676,14.846963563480893,1428.0738343934754,1.0221467183248416,3082.8855194916596,3026.317166715055,-782.7266721983214,1447.6104406408363,137.79062719602842,59514.30685177365,436.28887547673406,928.6206027881519,1430.3918675603093,1.0005927971891455,59516.6943359375,59482.04167546453,145.8939240107665,548.5009633657095,0.9696591834764223,1789.3764755661423,1838.698570045265,90.5481168450536,222.17917241276922,2.034653673300872,724.4939385491449,354.215885884053,-86.56610524916165,305.0202108331629,0.9793212228530163,1763.5926138388145,1791.4651217074008,3.9820114696348035,340.6526111912083,0.9632873015629279,1494.087308935217,1559.5946799613334,-30.531635645676303,70.06261343569369,0.5071084233554634,122.60447316556363,240.19883037257839,-49.991829525780034,156.0190279290483,6.656930408767752,845.9328801954115,800.3674900491495,-80.52346366422402,172.00124323045884,6.740425369224033,847.9374873187091,799.0351968480123,high
scale1_epoch49,49,49,1.0,106.06668338421228,1168.84790740142,51.06280749552959,32011.37498680321,703.326905740274,-1.0295884073236045e-06,1200.239464424752,1.000644993943137,32073.451976879223,32054.222986169763,1.0,217.46461600226326,439.1643657168826,833.4306858270555,14278.368368612753,1.0000320447457802,91420.03565772805,91415.2760768581,148,1524163.3562935493,12685.33464091533,1511478.0100361593,0.0,106.06668874540844,848.2740721831451,0.9967150994249292,2484.9472648002006,2490.7900052457244,595.1582626136574,1503.9251816208298,22.56907343864441,16426.34962587099,913.9168037208351,-467.6515292605838,1562.0969201165276,0.9999477021597527,16689.1046307538,16698.184322872676,127.50673167931068,1286.5335120123787,0.998811885714531,3034.9825381717164,3026.317166715055,-793.7052406104835,1536.598749934016,140.4337794329669,59533.87080342061,429.0305136603278,961.6385450620909,1473.4927236196156,1.0008212102426064,59530.4125316723,59482.04167546453,167.933314735825,580.1093642776077,0.9875324336258141,1816.2253776756493,1838.698570045265,62.270215193715856,284.65149472210857,2.8521907683965324,898.2355161099821,304.5067767581424,-55.47369568641423,336.90081163354824,1.037731968873256,1810.819772668787,1791.4651217074008,6.796517636727643,356.41511226344755,0.9814519201581543,1517.219612121582,1559.5946799613334,46.893768826046504,55.37330962516166,0.29417812441651886,108.10243397790032,390.7472886781435,-38.58657756326972,158.78184600778528,7.099116058768453,849.2968812890955,800.3674900491495,8.307191262374053,185.27588220544763,8.801614907545012,872.3184791255642,799.0351968480123,high
scale1e4_epoch18,18,18,10000.0,102.51283895808297,2822.480868777713,46.24076027483554,32523.561365076013,738.9063436147329,-6.974631572587453e-07,2842.9815624340163,1.0173645357827883,32593.449099978887,32054.222986169763,1.0,1208.7075368520375,2264.1093279864335,1757.97885049356,14880.22651961043,1.0004463131363328,91466.36111697635,91415.2760768581,148,1490688.7658625422,51832.05084723395,1438856.7154376055,0.0,102.51283832256858,906.9968488538588,1.02016381919384,2538.131873878273,2490.7900052457244,780.4758493578112,4467.1523338524075,19.616376322668952,17795.44878655511,989.7543475176838,-621.0648956298828,4468.555540342589,1.0965122000591174,18067.1000250739,16698.184322872676,159.41095688375268,1422.0194380476669,1.0377246608605255,3131.666550095017,3026.317166715055,-1060.4382691254486,2115.3528326910896,168.7945055574984,59891.91889252534,365.88273806185333,1157.5524894095756,2111.84790781382,1.006935122850779,59887.26470122466,59482.04167546453,97.1142228503485,546.1521154867636,1.004738067050238,1841.2853632746517,1838.698570045265,-77.61414603224478,638.9740000544367,5.720766489570205,1937.7935613683753,338.0923468100058,86.56480553182396,703.0329490867821,1.7154058773775358,2421.927167737806,1791.4651217074008,8.950658740224066,358.9690263078019,0.9979287752428571,1514.6048485008446,1559.5946799613334,3.6336576342582703,134.69233162338668,0.6913115458713995,216.73110095874682,334.09322872677365,-12.496138382602382,237.3479941084578,9.495702124125248,874.5834561940786,800.3674900491495,-8.862481544952136,193.4166858260696,7.5829131168288155,840.9470322067673,799.0351968480123,high
