checkpoint,gt_transport_gradient_rmse,gt_transport_gradient_unweighted_rmse,high_adjacent_gt_transport_gradient_rmse,high_adjacent_pred_transport_gradient_rmse,high_adjacent_pred_vs_gt_transport_gradient_rmse,num_hydrographs,pred_transport_gradient_rmse,pred_transport_gradient_unweighted_rmse,pred_vs_gt_transport_gradient_rmse,rollout_length
baseline,0.7524077523127198,0.9538504400849342,2.1359847140312196,0.5030181556940079,2.5958817851543428,5,0.17737794607877733,0.22446589976549147,0.9121747377514839,10
zone1,0.7443541846051812,0.9401367348432541,2.069964160323143,0.4902236258983612,2.516132538318634,5,0.1761917194724083,0.22229835718870164,0.9028392881155014,10
source_targetgrad,0.7507739287987352,0.9515964731574058,2.129963140487671,0.5018014413118362,2.5886177694797516,5,0.17704717367887496,0.22400893449783324,0.9102001056075096,10
source_smooth,0.7509812060371042,0.9519051805138588,2.1309288501739503,0.5019845342636109,2.5897792881727217,5,0.1770849347114563,0.2240656343102455,0.910448493361473,10
