checkpoint,requested_epoch,loaded_epoch,cell_balance_mae_ft3,cell_balance_mse_ft6,cell_balance_rmse_ft3,cell_mse_loss,num_cell_samples,num_one_step_hydrographs,num_rollout_hydrographs,one_step_mse_loss,one_step_zone_0_rmse,one_step_zone_0_volume_rmse,one_step_zone_0_wd_rmse,one_step_zone_1_rmse,one_step_zone_1_volume_rmse,one_step_zone_1_wd_rmse,one_step_zone_2_rmse,one_step_zone_2_volume_rmse,one_step_zone_2_wd_rmse,one_step_zone_3_rmse,one_step_zone_3_volume_rmse,one_step_zone_3_wd_rmse,one_step_zone_loss,relative_cell_balance_rmse,rollout_length,rollout_rmse,rollout_volume_rmse,rollout_wd_rmse,target_budget_rms_ft3,zone_0_rollout_rmse,zone_0_rollout_volume_rmse,zone_0_rollout_wd_rmse,zone_1_rollout_rmse,zone_1_rollout_volume_rmse,zone_1_rollout_wd_rmse,zone_2_rollout_rmse,zone_2_rollout_volume_rmse,zone_2_rollout_wd_rmse,zone_3_cell_balance_mae_ft3,zone_3_cell_balance_mse_ft6,zone_3_cell_balance_rmse_ft3,zone_3_rollout_rmse,zone_3_rollout_volume_rmse,zone_3_rollout_wd_rmse
noface,19,19,597.2869619394278,592640.0791396104,769.8312017186693,0.00013597043374380968,77,3,3,0.0001286265760427341,0.010905285986761252,0.012296788704892,0.009267308749258518,0.01127728975067536,0.011901092405120531,0.010609942488372326,0.01169994038840135,0.00933715266486009,0.013649921864271164,0.012753847365578016,0.007780568829427163,0.01626887855430444,0.0001453978184144944,1.142916619520037,25,0.12748257592320442,0.11756942063570022,0.13615663953125476,673.5672476632254,0.12037812112520138,0.12186695899814368,0.11800670774032672,0.12878010297815004,0.12813180970648924,0.12873262895892063,0.14076870041588943,0.10316753367582956,0.16959896467626095,446.0484163358614,361034.17775974027,600.8611967499152,0.13463730856776238,0.08484007202088834,0.17027062388757866
cellbalance_all_w3e9,19,19,339.89127696644175,196369.98275162338,443.1365283427032,8.721893750412341e-05,77,3,3,8.358352594465639e-05,0.008915537347396215,0.007122622802853584,0.010379170998930931,0.008593860392769178,0.005711293468872706,0.010711366310715675,0.009137272834777832,0.004914320384462674,0.01194993375490109,0.011264888880153498,0.004871601238846779,0.015167303072909514,9.892681797888751e-05,0.6578950058513913,25,0.10310035431136688,0.06623179385438561,0.1298300978168845,673.5672476632254,0.10093018677085638,0.0714731067729493,0.1233289164925615,0.09730029539515575,0.06277324847877025,0.12243056991448005,0.10074983403086663,0.05675394460558891,0.13067637185255687,300.53712681361606,186246.81392045456,431.56322123236424,0.12785263283799092,0.061250772600372635,0.1700933916370074
cellbalance_high_w3e9,19,19,447.5746178565087,414370.1400162338,643.7158845455298,0.00011020484713039227,77,3,3,0.0001154251391805398,0.011365342574814955,0.01017200481146574,0.012421548056105772,0.009724658913910389,0.007794955124457677,0.011329671988884607,0.009557253681123257,0.005391112218300502,0.012392415044208368,0.011734245965878168,0.003339334623888135,0.016251750911275547,0.00011124118464067578,0.9556816884709618,25,0.10905530684938033,0.08882013402879238,0.12606747455894948,673.5672476632254,0.11300994609793028,0.10337615416695674,0.12178437408059835,0.10079937192300956,0.08626953336720665,0.11344529259949923,0.09866511695086956,0.06341295797998707,0.12421155417958896,191.54304999809762,89986.00766030845,299.97667852736225,0.1240688347692291,0.03916353469404082,0.17100921956201395
