checkpoint,face_proxy_scale,gt_face_residual_rmse,hdf_start_index,matched_hdf_event,num_hydrographs,pred_face_residual_rmse,pred_vs_gt_delta_rmse,rollout_length,zone_0_gt_face_residual_rmse,zone_0_pred_face_residual_rmse,zone_0_pred_vs_gt_delta_rmse,zone_1_gt_face_residual_rmse,zone_1_pred_face_residual_rmse,zone_1_pred_vs_gt_delta_rmse,zone_2_gt_face_residual_rmse,zone_2_pred_face_residual_rmse,zone_2_pred_vs_gt_delta_rmse,zone_3_gt_face_residual_rmse,zone_3_pred_face_residual_rmse,zone_3_pred_vs_gt_delta_rmse
h1h6_zone1_w1e9_e5_full,0.0010040222675242046,2240.1942209031845,0,True,6,188.82117182413737,2299.267591688368,30,2572.577434539795,174.67399258083768,2637.4100089179146,2004.5891636318631,209.52105687459309,2062.891277228461,1705.4407021840414,200.373743947347,1766.635839758979,1761.6774453057183,175.89464365641277,1790.9179400973849
h1h6_zone1_e5_full,0.0011968819657340647,2507.9933231777613,0,True,6,223.8250356886122,2588.769964006212,30,2803.7953954908585,196.9951880560981,2886.5222312927244,2318.2093727111815,252.0994521247016,2399.8755147298175,2060.781961780124,243.49074969821507,2147.7573465983073,2039.3027161492241,232.10338838365342,2105.51194636027
h1h6_w1e9_e5_full,0.0007915915062767454,2492.358920033773,0,True,6,174.99777874416776,2562.373646206326,30,2747.1189508226184,164.66835208468967,2816.774247487386,2250.965812089708,192.23663194444444,2324.4483574761284,2162.317220603095,184.8207895067003,2244.2523434109157,2234.8915954589843,159.45933312310112,2287.319440460205
h1h6_noface_e5_full,0.000840872459715077,2560.911528608534,0,True,6,205.02732077704536,2653.2423131306964,30,2709.440204111735,186.19662017822264,2791.456726413303,2366.0545939975314,220.53505410088434,2460.700006357829,2422.765370051066,223.8704248216417,2542.4841268751356,2485.591427612305,217.1198883904351,2590.555844285753
