variant,target_rms_ft3,budget_rms_ft3,residual_rmse_ft3,residual_mae_ft3,residual_bias_ft3,relative_rmse,correlation,domain_target_rms_ft3,domain_budget_rms_ft3,domain_residual_rmse_ft3
cell_balance_trapz,2315.4165202028307,2265.582180213111,206.95194028975754,142.1412350982644,140.54655036831525,0.08938000505914527,0.9976867523846277,8222534.585716764,6277957.06487703,2084577.4443656912
cell_balance_rect_left,2315.4165202028307,2265.380665377691,210.32234490068723,143.07372049972608,140.63876188741784,0.09083564147769964,0.9975471945000988,8222534.585716764,6277145.787919918,2084799.806249078
cell_balance_rect_right,2315.4165202028307,2265.991835469679,205.83014672005106,141.5367924793979,140.4543388492127,0.08889551617348758,0.9977301939269786,8222534.585716764,6278771.887444586,2084366.0550552434
precipitation_volume,2315.4165202028307,179.2939751757266,2263.4714383189307,639.2918110156619,487.0198900743092,0.9775655561620725,0.1886950144725657,8222534.585716764,2084365.130331413,6278773.948816051
cell_balance_trapz_minus_precipitation,2315.4165202028307,2226.953209277677,373.2078858753958,282.3856150289845,281.00067518460963,0.1611839090802992,0.9939336982196036,8222534.585716764,4462699.898758023,4168939.8303420497
cell_balance_trapz_plus_precipitation,2315.4165202028307,2317.4764925139725,103.27993110201251,3.0064117308201,0.09242555202094525,0.04460533567108054,0.9989278467348185,8222534.585716764,8221858.392333631,4788.234222918103
zero_budget,2315.4165202028307,0.0,2315.4165202028307,633.2117064246253,627.4740148906035,1.0,nan,8222534.585716764,0.0,8222534.585716764
negative_cell_balance_trapz,2315.4165202028307,2265.582180213111,4576.592995784643,1257.321893071263,1114.4014794128918,1.976574389900152,-0.9976867523846277,8222534.585716764,6277957.06487703,14481028.165221468
area_extrapolated_target::cell_balance_trapz,2315.416521529368,2265.582180213111,206.9519403418722,142.14123507540577,140.54655037526948,0.08938000503044578,0.9976867523885706,8222534.585476216,6277957.06487703,2084577.444724028
area_extrapolated_target::cell_balance_trapz_plus_precipitation,2315.416521529368,2317.4764925139725,103.27993114695474,3.006409930149456,0.09242555897512035,0.04460533566493547,0.99892784673395,8222534.585476216,8221858.392333631,4788.236933343786
area_extrapolated_target::cell_balance_trapz_minus_precipitation,2315.416521529368,2226.953209277677,373.20788592075604,282.3856149657219,281.0006751915638,0.16118390900754503,0.9939336982284223,8222534.585476216,4462699.898758023,4168939.8306972915
