variant,target_rms_ft3,budget_rms_ft3,residual_rmse_ft3,residual_mae_ft3,residual_bias_ft3,relative_rmse,correlation,domain_target_rms_ft3,domain_budget_rms_ft3,domain_residual_rmse_ft3
cell_balance_trapz,2207.7068172272666,2154.525915702457,202.9217173294053,146.4303125619556,145.43212097730716,0.09191515637219508,0.997812881964722,7781689.666387311,5726949.875926055,2157242.820497518
cell_balance_rect_left,2207.7068172272666,2153.606371503194,205.56852842831367,147.27458687440182,145.52417767909094,0.09311405247481824,0.9976985837794677,7781689.666387311,5726159.938261305,2157619.8430773257
cell_balance_rect_right,2207.7068172272666,2155.6232661854788,202.14908627032756,145.89266732351598,145.3400642755235,0.09156518641556464,0.9978412022804496,7781689.666387311,5727741.880802515,2156871.5109723313
precipitation_volume,2207.7068172272666,185.53076962626437,2153.989431453084,602.598221958455,439.27374312956925,0.9756682430135138,0.20119389001715798,7781689.666387311,2156870.3936287677,5727743.707338057
cell_balance_trapz_minus_precipitation,2207.7068172272666,2115.7845021267904,380.0788705895065,291.5994274640876,290.7719904675636,0.17216002941317196,0.993411066584149,7781689.666387311,3788942.1750601437,4314111.784955135
cell_balance_trapz_plus_precipitation,2207.7068172272666,2208.226237590557,82.08429700900939,2.4132531548847855,0.09225148705074307,0.03718079609506385,0.999256903231196,7781689.666387311,7781002.939635357,3531.276259689592
zero_budget,2207.7068172272666,0.0,2207.7068172272666,589.8347499334702,584.6136126198256,1.0,nan,7781689.666387311,0.0,7781689.666387311
negative_cell_balance_trapz,2207.7068172272666,2154.525915702457,4357.834944231667,1174.9563845168009,1023.7951042623437,1.9739192315874707,-0.997812881964722,7781689.666387311,5726949.875926055,13492649.899262523
area_extrapolated_target::cell_balance_trapz,2207.7068193524406,2154.525915702457,202.92171680927126,146.43031229973516,145.43212071301693,0.09191515604811684,0.9978128819919482,7781689.661927532,5726949.875926055,2157242.8151220693
area_extrapolated_target::cell_balance_trapz_plus_precipitation,2207.7068193524406,2208.226237590557,82.08429729139779,2.413252471882681,0.09225122276051108,0.0371807961871833,0.9992569032265888,7781689.661927532,7781002.939635357,3531.277670135782
area_extrapolated_target::cell_balance_trapz_minus_precipitation,2207.7068193524406,2115.7845021267904,380.0788699731275,291.59942718033824,290.7719902032734,0.17216002896825375,0.9934110666436428,7781689.661927532,3788942.1750601437,4314111.779578066
