cell_flow_balance_available,cell_flow_balance_keyword_in_plan,computation_interval_raw,computation_interval_seconds,computation_level_output_raw,computation_level_output_seconds,end_date_time,face_flow_available,face_flow_keyword_in_plan,face_flow_shape,face_velocity_available,face_velocity_shape,hdf_output_interval_seconds,hdf_output_matches_computation,hydrograph_interval_raw,hydrograph_interval_seconds,input_type,note,output_interval_ok,path,required_output_seconds,start_date_time,status,water_surface_available,write_hdf5_file
,False,30SEC,30.0,30SEC,30.0,02Jan1000 1200,,False,,,,,,30SEC,30.0,plan,Plan text does not prove native Face Flow / Cell Flow Balance output; inspect the result HDF after simulation.,True,/mnt/8tb_hdd2/joyce/Minxiong/Minxiong_new/Minxiong.b03,30.0,30Dec0999 2400,PASS,,T
True,,,30.0,,,,True,,7201x29347,True,7201x29347,29.999999999999893,True,,,hdf,"Native budget-ready HDF requires Face Flow, Cell Flow Balance, and stored output matching the computation interval.",True,/mnt/8tb_hdd2/joyce/Minxiong/Minxiong_new/Minxiong.p03.hdf,,,PASS,True,
