event_id,target_volume_source,scope,flux_source,face_stage_rule,sign_mode,boundary_mode,source_mode,has_native_face_flow,has_native_cell_flow_balance,num_nodes,num_transitions,delta_t_seconds,hecras_computation_delta_t_seconds,hdf_output_delta_t_seconds,hdf_output_matches_computation,computation_steps_per_budget_interval,storage_aligned,storage_alignment_rmse_ft3,storage_alignment_max_abs_ft3,domain_residual_rmse_ft3,hdf_path,target_rms_ft3,budget_rms_ft3,residual_rmse_ft3,residual_mae_ft3,residual_bias_ft3,relative_rmse,correlation
H1,hgn_target,zone_3,reconstructed_velocity_area,mean,cell_order,native_bc_only,hdf_precipitation,True,True,1274,48,1799.9999712,30.0,29.999999999999893,True,59.99999904,False,3863.649841127896,177406.298159439,401320.42467589985,/mnt/8tb_hdd2/joyce/Minxiong/Minxiong_new/planH1/Minxiong.p03.hdf,484.44057694357963,31442.978642160353,31459.197353170242,3646.290852997368,-188.60781218971528,64.93922856679724,-0.02644891410521678
H1,hdf_reconstructed,all,reconstructed_velocity_area,mean,cell_order,native_bc_only,hdf_precipitation,True,True,12715,48,1799.9999712,30.0,29.999999999999893,True,59.99999904,False,3863.649841127896,177406.298159439,3946735.265857171,/mnt/8tb_hdd2/joyce/Minxiong/Minxiong_new/planH1/Minxiong.p03.hdf,1414.7704046751048,54061.042751855464,54033.822959905185,7130.494255623298,-263.0866407227904,38.19264439046121,0.031708692486640606
H1,hdf_reconstructed,zone_3,reconstructed_velocity_area,mean,cell_order,native_bc_only,hdf_precipitation,True,True,1274,48,1799.9999712,30.0,29.999999999999893,True,59.99999904,False,3863.649841127896,177406.298159439,433110.01006405446,/mnt/8tb_hdd2/joyce/Minxiong/Minxiong_new/planH1/Minxiong.p03.hdf,613.6677145197725,31442.978642160353,31438.084191459435,3633.7539446518385,-191.49295428794989,51.22981614905617,0.0173406653259245
H1,hgn_target,all,reconstructed_velocity_area,mean,negated,reconstructed_all_touching_faces,none,True,True,12715,48,1799.9999712,30.0,29.999999999999893,True,59.99999904,False,3863.649841127896,177406.298159439,14500985.466379192,/mnt/8tb_hdd2/joyce/Minxiong/Minxiong_new/planH1/Minxiong.p03.hdf,1149.7584853730057,93861.44328225567,93918.67001670609,7741.8931022212755,1116.9425056954242,81.68556371752882,-0.04272480513419461
H1,hgn_target,zone_3,reconstructed_velocity_area,mean,negated,reconstructed_all_touching_faces,none,True,True,1274,48,1799.9999712,30.0,29.999999999999893,True,59.99999904,False,3863.649841127896,177406.298159439,511570.94348322984,/mnt/8tb_hdd2/joyce/Minxiong/Minxiong_new/planH1/Minxiong.p03.hdf,484.44057694357963,31414.32960305864,31405.5829980007,3641.5260665951105,269.78665087149517,64.82855584919005,0.026437283048645933
H1,hdf_reconstructed,all,reconstructed_velocity_area,mean,negated,reconstructed_all_touching_faces,none,True,True,12715,48,1799.9999712,30.0,29.999999999999893,True,59.99999904,False,3863.649841127896,177406.298159439,14626296.197378125,/mnt/8tb_hdd2/joyce/Minxiong/Minxiong_new/planH1/Minxiong.p03.hdf,1414.7704046751048,93861.44328225567,93934.77234411427,7762.468122090488,1125.6939633714464,66.39577138008194,-0.04347189032470665
H1,hdf_reconstructed,zone_3,reconstructed_velocity_area,mean,negated,reconstructed_all_touching_faces,none,True,True,1274,48,1799.9999712,30.0,29.999999999999893,True,59.99999904,False,3863.649841127896,177406.298159439,487368.387491072,/mnt/8tb_hdd2/joyce/Minxiong/Minxiong_new/planH1/Minxiong.p03.hdf,613.6677145197725,31414.32960305864,31431.19190880454,3644.6129365349584,266.9015087732606,51.218584854836486,-0.017317947067999686
H1,hgn_target,all,reconstructed_velocity_area,mean,negated,reconstructed_all_touching_faces,hdf_precipitation,True,True,12715,48,1799.9999712,30.0,29.999999999999893,True,59.99999904,False,3863.649841127896,177406.298159439,13678949.623298896,/mnt/8tb_hdd2/joyce/Minxiong/Minxiong_new/planH1/Minxiong.p03.hdf,1149.7584853730057,93859.87471921301,93917.00467927122,7753.709786577663,1057.3070508158783,81.68411529383285,-0.04271601698263915
H1,hgn_target,zone_3,reconstructed_velocity_area,mean,negated,reconstructed_all_touching_faces,hdf_precipitation,True,True,1274,48,1799.9999712,30.0,29.999999999999893,True,59.99999904,False,3863.649841127896,177406.298159439,492902.55067547475,/mnt/8tb_hdd2/joyce/Minxiong/Minxiong_new/planH1/Minxiong.p03.hdf,484.44057694357963,31414.143953765295,31405.37310608654,3648.250559796942,255.45363575651308,64.82812258260556,0.026450793697456464
H1,hdf_reconstructed,all,reconstructed_velocity_area,mean,negated,reconstructed_all_touching_faces,hdf_precipitation,True,True,12715,48,1799.9999712,30.0,29.999999999999893,True,59.99999904,False,3863.649841127896,177406.298159439,13803851.135293204,/mnt/8tb_hdd2/joyce/Minxiong/Minxiong_new/planH1/Minxiong.p03.hdf,1414.7704046751048,93859.87471921301,93933.09724004648,7775.834507960738,1066.0585084918998,66.39458736883725,-0.043461654342447475
H1,hdf_reconstructed,zone_3,reconstructed_velocity_area,mean,negated,reconstructed_all_touching_faces,hdf_precipitation,True,True,1274,48,1799.9999712,30.0,29.999999999999893,True,59.99999904,False,3863.649841127896,177406.298159439,468168.73892648827,/mnt/8tb_hdd2/joyce/Minxiong/Minxiong_new/planH1/Minxiong.p03.hdf,613.6677145197725,31414.143953765295,31430.986896001577,3651.7560281368396,252.56849365827847,51.21825077696647,-0.01731293966325484
H1,hgn_target,all,reconstructed_velocity_area,mean,negated,native_bc_only,none,True,True,12715,48,1799.9999712,30.0,29.999999999999893,True,59.99999904,False,3863.649841127896,177406.298159439,3194076.8414393757,/mnt/8tb_hdd2/joyce/Minxiong/Minxiong_new/planH1/Minxiong.p03.hdf,1149.7584853730057,72989.64178069495,72995.55405357914,7665.055473742051,-212.2026435192655,63.487728059600144,0.002177391200963144
H1,hgn_target,zone_3,reconstructed_velocity_area,mean,negated,native_bc_only,none,True,True,1274,48,1799.9999712,30.0,29.999999999999893,True,59.99999904,False,3863.649841127896,177406.298159439,586531.8443920244,/mnt/8tb_hdd2/joyce/Minxiong/Minxiong_new/planH1/Minxiong.p03.hdf,484.44057694357963,31622.198411250447,31613.589368979243,3671.180392996847,299.62544097544406,65.25793022631363,0.026173728090826784
