variant,target_rms_ft3,budget_rms_ft3,residual_rmse_ft3,residual_mae_ft3,residual_bias_ft3,relative_rmse,correlation,domain_target_rms_ft3,domain_budget_rms_ft3,domain_residual_rmse_ft3
cell_balance_trapz,2349.896866181943,2288.8987501318584,234.7610292959409,175.15053638977292,174.31954908390344,0.09990269474139733,0.9976043501619956,8286479.656762464,5901012.260535833,2585827.611198701
cell_balance_rect_left,2349.896866181943,2288.6112947350334,238.48229355684,176.11845783610767,174.40403945948543,0.10148628094658486,0.9974344924463472,8286479.656762464,5900219.031952907,2585986.5405241675
cell_balance_rect_right,2349.896866181943,2289.4400615855793,233.48266463151006,174.56942445971347,174.23505870832145,0.09935868590304016,0.9976588720682737,8286479.656762464,5901809.720704762,2585678.574057315
precipitation_volume,2349.896866181943,222.41608221190103,2288.0512190362747,652.6881383280922,460.2463348017937,0.9736815483114568,0.1841616505104745,8286479.656762464,2585677.1022731755,5901812.195385575
cell_balance_trapz_minus_precipitation,2349.896866181943,2247.479555221561,451.1379146609507,349.1692860974553,348.5543755150348,0.19198200616946604,0.9919784303454326,8286479.656762464,3789431.7107024197,5171502.239724593
cell_balance_trapz_plus_precipitation,2349.896866181943,2350.720836855038,75.0858905556184,2.409660864442042,0.08472265277217494,0.03195284509554506,0.9994496556139347,8286479.656762464,8285864.52111975,5060.497829820356
zero_budget,2349.896866181943,0.0,2349.896866181943,642.6160367661897,634.4811612329252,1.0,nan,8286479.656762464,0.0,8286479.656762464
negative_cell_balance_trapz,2349.896866181943,2288.8987501318584,4633.252939266074,1275.212742649539,1094.642773381947,1.9716835261770758,-0.9976043501619956,8286479.656762464,5901012.260535833,14152345.288574161
area_extrapolated_target::cell_balance_trapz,2349.896865893162,2288.8987501318584,234.7610290515228,175.15053628356202,174.31954895650503,0.0999026946496622,0.9976043501675861,8286479.655046905,5901012.260535833,2585827.608822957
area_extrapolated_target::cell_balance_trapz_plus_precipitation,2349.896865893162,2350.720836855038,75.08589071581561,2.409659766972961,0.08472252537367794,0.03195284516764379,0.9994496556115637,8286479.655046905,8285864.52111975,5060.497290563976
area_extrapolated_target::cell_balance_trapz_minus_precipitation,2349.896865893162,2247.479555221561,451.1379143799096,349.1692859695805,348.55437538763624,0.19198200607346166,0.9919784303590831,8286479.655046905,3789431.7107024197,5171502.237349307
